N,T,p,d,runtime_h_us,runtime_g_us,mean_error_h,max_error_h,mean_error_g,max_error_g,mean_error_h_g, converged_h, converged_g
130000,3,5,2,12087,3262533,0.00605109,0.00926193,0.00962835,0.0145072,0.0046555,1,1
135000,3,5,2,14448,3407711,0.00577404,0.00798618,0.0092848,0.0155567,0.00465929,1,1
140000,3,5,2,13927,3526772,0.00571117,0.00913846,0.00888518,0.0166953,0.00464818,1,1
145000,3,5,2,14804,3613851,0.00642739,0.0100732,0.00971576,0.0176695,0.00466301,1,1
150000,3,5,2,14622,2869951,0.00562978,0.00931398,0.0093335,0.0168863,0.00465242,1,1
5000,4,5,2,627,103719,0.0484567,0.076137,0.050007,0.0836515,0.00483435,1,1
10000,4,5,2,981,206734,0.0467164,0.0805404,0.0499565,0.0886974,0.00488107,1,1
15000,4,5,2,1324,288987,0.0376773,0.0651621,0.0408878,0.0731754,0.00489752,1,1
20000,4,5,2,1644,394196,0.0370874,0.061595,0.0403699,0.0692607,0.00496222,1,1
25000,4,5,2,2089,451683,0.0355543,0.0554283,0.0387969,0.0630027,0.00495913,1,1
30000,4,5,2,2514,543306,0.0272195,0.0446325,0.0305186,0.0526482,0.00491223,1,1
35000,4,5,2,2899,627821,0.0204415,0.0386523,0.0237408,0.0466141,0.00482558,1,1
40000,4,5,2,3294,697114,0.0181042,0.0302269,0.0229035,0.0378465,0.00479929,1,1
45000,4,5,2,4283,850654,0.0176748,0.0289576,0.021304,0.036897,0.00481843,1,1
50000,4,5,2,4660,970618,0.0161622,0.0304205,0.0193686,0.0347392,0.00475865,1,1
55000,4,5,2,5277,1015155,0.0118778,0.0243109,0.01614,0.028728,0.00474941,1,1
60000,4,5,2,4543,1122615,0.00960121,0.0228227,0.0140666,0.0287782,0.00471475,1,1
65000,4,5,2,5609,1269870,0.00890926,0.0207992,0.0124463,0.0284067,0.00468418,1,1
70000,4,5,2,5590,1312356,0.00896007,0.022271,0.0134354,0.0299033,0.00470888,1,1
75000,4,5,2,6088,1317656,0.00856073,0.0207086,0.01328,0.0283941,0.00471927,1,1
80000,4,5,2,7078,1560392,0.00725454,0.0153131,0.0119689,0.0229804,0.00471436,1,1
85000,4,5,2,7456,1613410,0.00650415,0.0173052,0.0112214,0.0217838,0.00471726,1,1
90000,4,5,2,7643,1623750,0.00842846,0.0155583,0.0131384,0.0201984,0.00470999,1,1
95000,4,5,2,7841,1689646,0.00831132,0.0121531,0.0129819,0.0195903,0.0046861,1,1
100000,4,5,2,7995,1834007,0.00537093,0.00912465,0.0100282,0.0136302,0.00467003,1,1
105000,4,5,2,8563,1975131,0.00478279,0.00895361,0.0094501,0.0141161,0.00468286,1,1
110000,4,5,2,9161,2019367,0.00477581,0.00982241,0.00942375,0.0142855,0.00466454,1,1
115000,4,5,2,8800,1995172,0.00621469,0.0112776,0.0108741,0.0157423,0.00468005,1,1
120000,4,5,2,9033,2148443,0.00698012,0.0124408,0.0106552,0.0168833,0.00467408,1,1
125000,4,5,2,10494,2305459,0.00611432,0.0098149,0.00954479,0.0162793,0.00465097,1,1
130000,4,5,2,9813,2364800,0.00605109,0.00926193,0.00962835,0.0145072,0.0046555,1,1
135000,4,5,2,10952,2393826,0.00577404,0.00798618,0.0092848,0.0155567,0.00465929,1,1
140000,4,5,2,11826,2450338,0.00571117,0.00913846,0.00888518,0.0166953,0.00464818,1,1
145000,4,5,2,11145,2624157,0.00642739,0.0100732,0.00971576,0.0176695,0.00466301,1,1
150000,4,5,2,12314,2676521,0.00562978,0.00931398,0.0093335,0.0168863,0.00465242,1,1
5000,5,5,2,597,99742,0.0484567,0.076137,0.050007,0.0836515,0.00483435,1,1
10000,5,5,2,771,191053,0.0467164,0.0805404,0.0499565,0.0886974,0.00488107,1,1
15000,5,5,2,1174,264555,0.0376773,0.0651621,0.0408878,0.0731754,0.00489752,1,1
20000,5,5,2,1434,374227,0.0370874,0.061595,0.0403699,0.0692607,0.00496222,1,1
25000,5,5,2,1832,479657,0.0355543,0.0554283,0.0387969,0.0630027,0.00495913,1,1
30000,5,5,2,2092,534283,0.0272195,0.0446325,0.0305186,0.0526482,0.00491223,1,1
35000,5,5,2,2485,674417,0.0204415,0.0386523,0.0237408,0.0466141,0.00482558,1,1
40000,5,5,2,2736,683687,0.0181042,0.0302269,0.0229035,0.0378465,0.00479929,1,1
45000,5,5,2,3139,752670,0.0176748,0.0289576,0.021304,0.036897,0.00481843,1,1
50000,5,5,2,3545,854204,0.0161622,0.0304205,0.0193686,0.0347392,0.00475865,1,1
55000,5,5,2,3770,1042164,0.0118778,0.0243109,0.01614,0.028728,0.00474941,1,1
60000,5,5,2,4166,1128664,0.00960121,0.0228227,0.0140666,0.0287782,0.00471475,1,1
65000,5,5,2,4576,996587,0.00890926,0.0207992,0.0124463,0.0284067,0.00468418,1,1
70000,5,5,2,4832,1030739,0.00896007,0.022271,0.0134354,0.0299033,0.00470888,1,1
75000,5,5,2,4635,1306323,0.00856073,0.0207086,0.01328,0.0283941,0.00471927,1,1
